Date,Close,Open,High,Low,Volume,Change_Pct,Returns_1d,Returns_7d,Returns_14d,Volatility_7d,Volatility_14d,Volatility_21d,Volume_Log,Volume_Change_Pct,Price_MA7_Ratio,Price_MA30_Ratio,MA14_MA30_Ratio,RSI,MACD,BB_Position,Forward_Return_30,Target_30d_Up,Target
2015-01-02,1869.0,1856.75,1876.25,1835.0,2920.0,0.0066,0.0,0.0,0.0,0.0,0.0,0.0,7.979681302387741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014713750668806869,0,0
2015-01-05,1841.5,1870.25,1878.5,1840.0,3380.0,-0.0147,-0.014713750668806869,0.0,0.0,0.0,0.0,0.0,8.125926802707886,0.15753424657534243,0.0,0.0,0.0,0.0,-2.1937321937323304,0.0,-0.004072766766223146,0,0
2015-01-06,1842.75,1840.0,1863.0,1838.0,3340.0,0.0007000000000000001,0.0006787944610371355,0.0,0.0,0.0,0.0,0.0,8.114025442356757,-0.011834319526627168,0.0,0.0,0.0,0.0,-3.7877533461580697,0.0,-0.025098358431691725,0,0
2015-01-07,1842.5,1842.75,1850.25,1824.0,3220.0,-0.0001,-0.00013566680233345618,0.0,0.0,0.0,0.0,0.0,8.0774471493312,-0.0359281437125748,0.0,0.0,0.0,0.0,-5.013408057076731,0.0,-0.02170963364993217,0,0
2015-01-08,1852.0,1842.0,1873.25,1842.0,3580.0,0.0052,0.0051560379918589305,0.0,0.0,0.0,0.0,0.0,8.183397369998433,0.11180124223602483,0.0,0.0,0.0,0.0,-5.158711228798438,0.0,-0.029157667386609076,0,0
2015-01-09,1860.25,1850.0,1869.0,1832.75,3740.0,0.0045000000000000005,0.00445464362850978,0.0,0.0,0.0,0.0,0.0,8.227108234348146,0.04469273743016755,0.0,0.0,0.0,0.0,-4.555644355032655,0.0,-0.052815481790082,0,0
2015-01-12,1861.5,1860.0,1867.0,1837.0,3170.0,0.0007000000000000001,0.0006719526945302423,0.0,0.0,0.0,0.0,0.0,8.061802274538348,-0.15240641711229952,1.0047033424573037,0.0,0.0,0.0,-3.93152478891966,0.0,-0.053182917002417396,0,0
2015-01-13,1813.5,1860.0,1862.75,1813.25,3940.0,-0.0258,-0.025785656728444795,-0.029695024077046495,0.0,0.18364233967833996,0.0,0.0,8.279189777195004,0.2429022082018928,0.9830029425429766,0.0,0.0,0.0,-7.2267983506380915,0.0,-0.023986765922249798,0,0
2015-01-14,1756.0,1810.0,1817.0,1741.75,5750.0,-0.0317,-0.03170664460987038,-0.04642954113494435,0.0,0.24304603019900123,0.0,0.0,8.657129031713755,0.45939086294416254,0.9581790544490782,0.0,0.0,0.0,-14.313103296706913,0.0,-0.003416856492027387,0,0
2015-01-15,1768.5,1756.0,1806.5,1756.0,4770.0,0.0070999999999999995,0.007118451025057038,-0.04029304029304026,0.0,0.25404259891440073,0.0,0.0,8.470311205516108,-0.1704347826086956,0.9706176372581689,0.0,0.0,0.0,-18.70478833084394,0.0,-0.0062199604184336454,0,0
2015-01-16,1845.25,1768.5,1848.5,1765.0,4690.0,0.0434,0.043398360192253405,0.0014925373134329067,0.0,0.3915150066672219,0.0,0.0,8.453401058328458,-0.016771488469601636,1.0125225366465471,0.0,0.0,0.0,-15.809900100257664,0.0,-0.06408345752608047,0,0
2015-01-19,1850.5,1841.5,1867.0,1826.5,2260.0,0.0028000000000000004,0.0028451429345617285,-0.0008099352051835762,0.0,0.39059837842823925,0.0,0.0,7.72356247227797,-0.5181236673773988,1.0155227156912705,0.0,0.0,0.0,-12.942852055208732,0.0,-0.057281815725479635,0,0
2015-01-20,1900.0,1850.5,1907.5,1843.0,2770.0,0.026699999999999998,0.02674952715482304,0.021368095686063793,0.0,0.42253675339877617,0.0,0.0,7.9269635448629785,0.2256637168141593,1.0394482327426193,0.0,0.0,0.0,-6.600374503615058,0.0,-0.08105263157894738,0,0
2015-01-21,1900.0,1899.0,1917.0,1863.5,2820.0,0.0,0.0,0.02068224550094011,0.0,0.42273329826813894,0.0,0.0,7.944846711001996,0.018050541516245522,1.0363299892860622,0.0,0.0,55.210084033613455,-1.5559789916414957,0.0,-0.06789473684210523,0,0
2015-01-22,1881.0,1908.0,1908.0,1872.0,2510.0,-0.01,-0.010000000000000009,0.037220843672456594,0.006420545746388395,0.38626132667732915,0.30140161853928255,0.0,7.828436359157585,-0.10992907801418439,1.0205987791880633,0.0,0.0,51.8957345971564,0.8982451729148124,0.0,-0.041998936735778813,0,0
2015-01-23,1835.0,1881.0,1883.0,1832.5,2540.0,-0.0245,-0.024455077086656063,0.04498861047835989,-0.0035297311973934153,0.3583788723971734,0.31359751277905673,0.0,7.840312983320164,0.01195219123505975,0.9895803239536989,0.0,0.0,49.02985074626866,-0.8586817086766132,0.0,-0.013079019073569453,0,0
2015-01-26,1870.0,1845.5,1870.5,1815.0,1650.0,0.0191,0.019073569482288777,0.05739327113372905,0.014787681454348167,0.3663049823779504,0.32399005891978905,0.0,7.409136443920128,-0.3503937007874016,1.000630649569056,0.0,0.0,53.69491525423729,0.5666169648191044,0.0,-0.021390374331550777,0,0
2015-01-27,1866.5,1866.0,1875.0,1843.0,2260.0,-0.0019,-0.0018716577540106583,0.011516054735130732,0.013025780189959368,0.27244004338115657,0.32421676274281847,0.0,7.72356247227797,0.36969696969696964,0.9971380599862627,0.0,0.0,53.2258064516129,1.3976445071325543,0.0,-0.029199035628181047,0,0
2015-01-28,1876.0,1863.0,1888.5,1858.0,1850.0,0.0051,0.005089740155371114,0.013780059443393666,0.012958963282937441,0.27314643205631156,0.3242008770982876,0.0,7.523481312573497,-0.18141592920353977,1.0002665955745134,0.0,0.0,53.2258064516129,2.790641647040502,0.0,-0.04051172707889128,0,0
